RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST
19,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2002,KE04568825,          1.875,         35.458,      -99,2002001,2002060,2002066,2002111,2002156,2002156,2002,-99,14891,5645,5645,0,9216,0.252799928,2233,446.595032,0.379097044,3.46768808,-99,-99,-99,-99,-99,22,352,263,596,319,276,15,0,56,2,100,0,134,0,12,37,112,77,0.900496468E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26407,26407,0,0,188959,188959,481,0.00000000,57.6259346,31.6198425,46.6262665,42.2733002,21.8459759,11.9870739,17.6760044,16.0257950,148.905411,111.123444,56.4500008,42.1268654,96,31.7333279,18.2197895,21.4239578,12.0411644,372.380981,258.399994,470.923950,154.765381,319.359497,1,
20,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2003,KE04568825,          1.875,         35.458,      -99,2003001,2003061,2003066,2003111,2003158,2003158,2003,-99,13792,4834,4834,0,7932,0.260699898,1854,370.827423,0.350473791,3.42245531,-99,-99,-99,-99,-99,16,267,390,545,308,238,26,0,136,2,100,0,135,0,17,42,111,71,0.738239586E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26402,26402,0,0,188929,188929,538,0.00000000,36.3234024,31.9756088,44.8435287,51.7257652,12.7311010,11.2072296,15.7173471,18.1295242,137.919983,102.162949,48.3400002,35.8074074,97,31.1958866,18.4371128,21.3195858,12.0432615,374.992065,379.700073,431.328705,126.469498,307.558258,1,
21,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2004,KE04568825,          1.875,         35.458,      -99,2004001,2004060,2004065,2004111,2004156,2004156,2004,-99,15581,6057,6057,0,9753,0.252799898,2396,479.196899,0.388745397,3.41440034,-99,-99,-99,-99,-99,19,304,246,554,306,248,7,0,40,2,100,0,134,0,12,36,114,81,0.732815117E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26407,26407,0,0,188969,188969,476,0.00000000,68.3377686,36.2478371,50.9782295,51.2135048,26.5657902,14.0910711,19.8174000,19.9088612,155.810120,116.276207,60.5699997,45.2014923,96,31.2593708,18.5177059,22.1895828,12.0411644,376.968781,228.000000,429.846680,127.290863,305.640503,1,
22,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2005,KE04568825,          1.875,         35.458,      -99,2005001,2005060,2005065,2005108,2005154,2005154,2005,-99,15141,6648,6648,0,10182,0.268599987,2475,495.007782,0.439067215,3.30583906,-99,-99,-99,-99,-99,21,347,220,570,310,261,3,0,45,2,100,0,129,0,13,32,108,80,0.676170290E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26411,26411,0,0,188992,188992,457,0.00000000,77.2898712,34.4922562,48.9184952,43.6338272,33.9356804,15.1445227,21.4786549,19.1583138,151.410858,117.372757,66.4800034,51.5348854,94,31.5425606,19.0074463,21.5925522,12.0398550,378.949219,195.900009,438.970581,132.492142,309.516602,1,
23,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2006,KE04568825,          1.875,         35.458,      -99,2006001,2006060,2006066,2006111,2006155,2006155,2006,-99,14726,5616,5616,0,9369,0.244900033,2293,458.619232,0.381359071,3.35091043,-99,-99,-99,-99,-99,21,340,222,579,305,274,9,0,25,2,100,0,133,0,11,35,108,76,0.226515576,-99,-99,-99,-99,-99,-99,-99,-99,0,26409,26409,0,0,189002,189002,462,0.00000000,71.8328629,33.5807533,48.3499908,43.2571487,27.3951206,12.8067961,18.4393864,16.4971123,147.257370,110.719826,56.1599998,42.2255630,95,31.5589428,18.6368427,21.4315796,12.0405130,381.295135,205.000015,438.517181,136.898346,304.565460,1,
24,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2007,KE04568825,          1.875,         35.458,      -99,2007001,2007060,2007065,2007110,2007154,2007154,2007,-99,15470,6000,6000,0,9558,0.244900063,2450,489.957397,0.387809694,3.41221523,-99,-99,-99,-99,-99,19,319,304,577,327,250,14,0,83,2,100,0,132,0,13,35,111,77,0.734821558E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26409,26409,0,0,188978,188978,477,0.00000000,60.1722870,34.6976204,47.3666153,48.5440292,23.3372231,13.4571276,18.3706703,18.8273182,154.702942,117.199203,60.0000000,45.4545441,94,31.9893589,18.6063881,22.4702148,12.0398550,383.081726,257.100006,445.860382,121.766281,326.607574,1,
25,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2008,KE04568825,          1.875,         35.458,      -99,2008001,2008060,2008065,2008111,2008155,2008155,2008,-99,15549,5772,5772,0,9625,0.244899958,2357,471.341400,0.371187717,3.42595768,-99,-99,-99,-99,-99,25,402,160,591,331,261,2,0,20,2,100,0,129,0,12,32,108,75,0.295101374,-99,-99,-99,-99,-99,-99,-99,-99,0,26412,26412,0,0,189034,189034,446,0.00000000,106.063690,34.3275642,46.9829102,38.7230606,39.3724403,12.7429104,17.4407654,14.3745842,155.489380,120.534401,57.7200012,44.7441864,95,31.8073711,18.4084187,22.4294720,12.0405130,384.927185,146.600006,452.957764,124.392616,330.948792,1,
26,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2009,KE04568825,          1.875,         35.458,      -99,2009001,2009061,2009066,2009112,2009155,2009155,2009,-99,14643,5508,5508,0,8525,0.252800077,2179,435.778137,0.376163036,3.51429987,-99,-99,-99,-99,-99,23,377,168,580,334,246,6,0,11,2,100,0,130,0,12,33,108,72,0.700173378E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26411,26411,0,0,189025,189025,458,0.00000000,93.1502457,32.1763802,43.8769035,38.8113556,35.0381699,12.1030436,16.5041580,14.5987682,146.432175,112.640137,55.0800018,42.3692322,94,32.1808548,18.9776630,22.1478710,12.0413351,386.855804,157.199997,455.092133,124.906799,333.734070,1,
27,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2010,KE04568825,          1.875,         35.458,      -99,2010001,2010062,2010068,2010115,2010161,2010161,2010,-99,15400,6269,6269,0,10135,0.268599898,2334,466.797699,0.407078832,3.42091560,-99,-99,-99,-99,-99,15,241,301,563,272,292,8,0,22,2,100,0,135,0,12,37,109,81,0.850258023E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26407,26407,0,0,188974,188974,491,0.00000000,62.8322716,37.7570305,56.6889114,63.9124107,25.5773163,15.3698645,23.0765209,26.0170116,154.001892,114.075478,62.6899986,46.4370384,99,29.2393990,18.5797997,21.2848473,12.0459328,389.334595,245.099991,407.876068,138.917862,271.661407,1,
28,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2011,KE04568825,          1.875,         35.458,      -99,2011001,2011060,2011065,2011109,2011153,2011153,2011,-99,14747,5574,5574,0,9367,0.244899958,2276,455.174835,0.377939939,3.30155778,-99,-99,-99,-99,-99,25,413,132,576,318,257,12,0,7,2,100,0,130,0,13,34,106,75,0.752740651E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26411,26411,0,0,189007,189007,450,0.00000000,117.790398,32.3123245,46.3612747,35.7474403,44.5207672,12.2129602,17.5229855,13.5113182,147.473572,113.441208,55.7400017,42.8769226,93,31.8376350,18.6892452,22.4795704,12.0391884,391.213257,125.199997,456.400391,140.609726,318.096466,1,
29,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2012,KE04568825,          1.875,         35.458,      -99,2012001,2012060,2012066,2012112,2012160,2012160,2012,-99,15320,5970,5970,0,9330,0.276499927,2159,431.808563,0.389667958,3.45762420,-99,-99,-99,-99,-99,18,289,370,556,308,248,21,0,133,2,100,0,133,0,18,41,110,76,0.737430006E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26403,26403,0,0,188956,188956,535,0.00000000,41.7327766,35.0949249,49.7299156,52.9990730,16.2626019,13.6759367,19.3789597,20.6528988,153.200989,115.188721,59.7000008,44.8872185,100,30.4470024,18.4409962,21.9339981,12.0436964,393.344543,367.099945,436.533173,130.984573,308.066071,1,
30,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2013,KE04568825,          1.875,         35.458,      -99,2013001,2013060,2013065,2013111,2013157,2013157,2013,-99,15593,6131,6131,0,10225,0.260700047,2352,470.355896,0.393189669,3.34470654,-99,-99,-99,-99,-99,15,235,366,546,291,255,21,0,84,2,100,0,135,0,15,40,109,80,0.273801714,-99,-99,-99,-99,-99,-99,-99,-99,0,26405,26405,0,0,188966,188966,516,0.00000000,44.7694931,37.8210602,53.4944458,66.3754044,17.6026402,14.8706293,21.0331516,26.0977364,155.932144,115.505295,61.3100014,45.4148140,97,30.5824738,18.6670132,22.1030903,12.0418081,396.044464,348.300018,412.289215,123.231667,291.492218,1,
31,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2014,KE04568825,          1.875,         35.458,      -99,2014001,2014060,2014065,2014110,2014152,2014152,2014,-99,15399,6383,6383,0,10342,0.244504988,2610,522.081421,0.414490491,3.27477908,-99,-99,-99,-99,-99,26,433,80,551,312,240,3,0,10,2,100,0,129,0,13,32,107,80,0.730973408E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26411,26411,0,0,189002,189002,440,0.00000000,207.528381,35.6145020,49.4108849,35.5244865,86.0242615,14.7628536,20.4817047,14.7255402,153.986053,119.369034,63.8300018,49.4806213,92,31.8967361,18.8782597,22.3086967,12.0385160,398.224030,74.1999969,432.368988,123.483154,311.643982,1,
32,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2015,KE04568825,          1.875,         35.458,      -99,2015001,2015060,2015065,2015113,2015158,2015158,2015,-99,15406,5646,5646,0,9230,0.252800047,2234,446.713287,0.366499424,3.46821737,-99,-99,-99,-99,-99,19,309,218,533,303,230,9,0,36,2,100,0,134,0,12,36,111,74,0.904636979E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26408,26408,0,0,189011,189011,487,0.00000000,72.2629242,37.2485313,50.8698387,49.8543510,26.4821739,13.6504593,18.6422558,18.2701111,154.064575,114.973557,56.4599991,42.1343269,98,30.8469334,18.7234688,22.0438786,12.0424452,400.235657,213.200012,413.612457,113.397537,302.860352,1,
33,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2016,KE04568825,          1.875,         35.458,      -99,2016001,2016060,2016065,2016109,2016154,2016154,2016,-99,16074,6706,6706,0,10356,0.268600047,2497,499.360138,0.417222321,3.47059798,-99,-99,-99,-99,-99,18,284,302,561,311,250,10,0,67,2,100,0,135,0,12,38,114,83,0.828086063E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26406,26406,0,0,188955,188955,498,0.00000000,55.6384430,37.4606438,51.6708107,56.5292816,23.2121868,15.6284657,21.5569019,23.5838413,160.739441,119.066254,67.0599976,49.6740723,94,31.5393639,19.6265965,22.2063866,12.0398550,403.466309,288.899963,429.088837,121.332695,311.083649,1,
34,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2017,KE04568825,          1.875,         35.458,      -99,2017001,2017060,2017065,2017108,2017151,2017151,2017,-99,14761,5677,5677,0,9199,0.244850665,2319,463.744446,0.384619206,3.37726212,-99,-99,-99,-99,-99,24,404,139,581,324,257,1,0,11,2,100,0,130,0,13,33,107,75,0.686009079E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26411,26411,0,0,189009,189009,454,0.00000000,147.758865,33.1116486,45.5014343,36.5147591,56.8268204,12.7344637,17.4994717,14.0432711,147.611115,113.547012,56.7700005,43.6692314,91,32.5197830,19.1406612,22.7527466,12.0378361,405.991241,99.9000092,445.798126,123.948578,324.409790,1,
35,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2018,KE04568825,          1.875,         35.458,      -99,2018001,2018061,2018067,2018117,2018167,2018167,2018,-99,15474,6715,6715,0,10634,0.292299956,2297,459.429749,0.433927983,3.17152739,-99,-99,-99,-99,-99,12,186,572,528,259,269,33,38,210,2,100,0,134,2,23,51,110,84,0.154259190,-99,-99,-99,-99,-99,-99,-99,-99,0,26394,26394,0,0,188857,188857,606,0.00000000,28.1548691,38.6212997,59.6780701,83.2823715,12.2179785,16.7599506,25.8976631,36.1408958,154.739136,115.476967,67.1500015,50.1119385,106,27.9745293,18.0349102,19.3226414,12.0486212,407.926270,549.599915,400.657501,143.596100,259.289795,1,
36,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2019,KE04568825,          1.875,         35.458,      -99,2019001,2019060,2019065,2019108,2019150,2019150,2019,-99,14727,5355,5355,0,8670,0.236851841,2261,452.157837,0.363589138,3.46224999,-99,-99,-99,-99,-99,26,437,127,602,342,260,1,0,13,2,100,0,129,0,13,32,107,71,0.688772798E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26412,26412,0,0,189027,189027,453,0.00000000,121.213135,30.9066944,43.0638313,33.6968651,44.0740776,11.2379246,15.6583586,12.2524529,147.273941,114.165848,53.5499992,41.5116272,90,32.9600029,19.5344429,23.3266678,12.0371504,410.748596,121.499992,476.511475,137.674255,341.989868,1,
37,1,1,1,1,MZ,MZCER048,CRMZ2501,CerealY                  ,GENERIC2,GGCP.WTH,2020,KE04568825,          1.875,         35.458,      -99,2020001,2020060,2020066,2020113,2020161,2020161,2020,-99,15021,5581,5581,0,9706,0.268600076,2078,415.543030,0.371520549,3.42497683,-99,-99,-99,-99,-99,14,226,448,567,277,290,16,0,141,2,100,0,135,0,16,42,107,76,0.789628625E-1,-99,-99,-99,-99,-99,-99,-99,-99,0,26403,26403,0,0,188957,188957,537,0.00000000,35.8933296,35.6576500,54.2124825,66.4904251,13.3357201,13.2481556,20.1419735,24.7036896,150.213608,111.269341,55.8100014,41.3407402,101,29.2821751,18.7514820,21.0841579,12.0443106,413.360046,418.500092,421.266174,146.098022,277.083069,1,
